,Column1,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
2201,2201,Alphabitch27,"Constitutional Conservative #ExGOP #NeverTrump  I’m an American, I will not spit on the graves of those who fought for our independence, in 1776!",,478,385,15306,0,"@SmokeyMagma I hope so, it’s been awhile since SuperBowl #50... ??",[]
2202,2202,IDK_SANYA,??Satisfaction,,56,21,1796,210,I see Dr. DRE all on the Superbowl commercials so I figured I would remind y'all that he assaulted Dee Barnes (during Superbowl XXV in 1997) pled no contest to the charges in court and SHE was the one Blacklisted from the rap industry because of it.,[]
2203,2203,Nick49Good,"Family man, #49ers fan, #ResilientSF fan, Urban Forester : Trees are good. Born and raised in Santa Rosa, CA now living in the Great white north (Idaho)","Hayden, ID ",1163,1098,3539,0,"I was 8, I remember it, my mom bought me and my brothers brand new superbowl shirts from probably safeway. https://t.co/rmyFhIRBQY",[]
2204,2204,SpidaSteve,"????
#Father
#Family
#Football ??
#TEXANS ??
#AZCardinals
#WeAreTexans 
#DW4 ??+??=??
#Clemson
#DeathValley
#OSU
#Buckeyes
#NBA
#Blazers
#Democrat
#NFLTwitter","Ohio, USA",1888,399,19245,29,"Other NFL fans calling Bengals fans cocky now I guess.

Why? Because we are excited our team has a shot at going to the superbowl? 

Relax it's not that serious lmao",[]
2205,2205,matt_hack78,Striving to be a better person everyday.  I want to change the world through compassion and  understanding.,,280,326,4157,6,Rumored #DOGEcoin Commercial during the #SuperBowl ??? https://t.co/EWVccE8LbC,"['DOGEcoin', 'SuperBowl']"
2206,2206,shaisnotawake,matching with @choopysnotawake,she/they | asian | mcyt,983,823,1388,841,LMAO IM SORRY BUT IMAGINE RANBOO PLAYING FUCKING MINECRAFT FROM AN IPAD AT THE SUPERBOWL ... LIKE https://t.co/nUvh7YU1fz,[]
2207,2207,realCamRoberts,Abolish the fed,"Tulsa, OK",694,159,2702,0,Every superbowl has had 2 teams that are apart of the nfl https://t.co/8zZlb3aRY4,[]
2208,2208,FreyaGreaves,??????,,623,83,13572,841,LMAO IM SORRY BUT IMAGINE RANBOO PLAYING FUCKING MINECRAFT FROM AN IPAD AT THE SUPERBOWL ... LIKE https://t.co/nUvh7YU1fz,[]
2209,2209,SPnottheGhost,"Cleveland sports. Never one to believe Twitter rumors. ...Sit back and learn, come now watch the birdie;
Your styles are incomplete same as Vinny Testaverde.",Parts Unknown,674,108,9471,0,@MalikMcDowell69 @Jeff_LJ_Lloyd Really so do you think the Rams will think it is a successful season if they don't go to Superbowl. The Rams have not had a issue going to playoffs their goal with the trade was go to Superbowl and win it . They gave up a lot their goal is Superbowl not NFC championship game,[]
2210,2210,markdante1,Don't cry because it's over. Smile because it happened.??~Dr Seuss  #LoveWins,,32471,31658,33770,4,"January 27, 1991 -- At the #SuperBowl in Tampa, #WhitneyHouston stepped up to the microphone and sang “The Star-Spangled Banner."" The United States, in the throws of fighting a war in the Gulf, unified with resounding pride. #ThrowbackThursday https://t.co/tjBWzQboTK","['SuperBowl', 'WhitneyHouston']"
2211,2211,DarbyBaileyXO,"??Anything is Possible ??Voice - Story - Song - NFT - web3, 2, 1... (Voice of AI like Tellme, Amex, ATT, UPS, Fidelity, Disney since '99) #PhDLife #weirdo",Space Pod,5000,3532,41954,111,"???? For Holders Only! ????

We are giving away 4 tickets to a very exclusive, private VIP Superbowl party in Los Angeles! ????

Airfare by JetBlue, plus hotel accommodations!

See our discord for more information!
https://t.co/jR1IaZzaMe https://t.co/Uhn79iLZcn",[]
2212,2212,BrandsByBry,Brand Management©?| Strategic Communication ??| Digital Content Strategist??| SPORTS??????| ENTERTAINMENT??????| Executive Branding|UMD Alum ????|Jeremiah 29:11,DC|MD|VA,2325,835,39357,0,Still waiting on that miracle SuperBowl ticket to drop out the sky…,[]
2213,2213,KingBummm,"Fuck Depression and Anxiety !
#RaiderNation #Lakeshow #Dodgers #Gokingsgo","California, USA",164,102,19949,35,"No division wins 
No playoff wins
No conference wins 
No superbowl wins
Yet we afraid of change like we world beaters",[]
2214,2214,Brandon9aAllen,,"Colorado, USA",1644,150,3566,0,"@hectormariscal7 @kendricklamar please make the Rams a fire song for maybe Sunday, if not then just the SuperBowl?",[]
2215,2215,ButtonheadV,"Peace Love & Nonsense ??
NFT & Crypto maxi
MAYC ~ Metahero ~ Byopills?? ~ RKL ~ Creatures
#ApeFollowApe","Earth 2.0, Simulation 13, ",2023,1724,1979,0,@maz_nf @SoapBoxCar @OX_Ditto @BoredApeYC @SuperBowl @yugalabs @pixelvault Same here ??????,[]
2216,2216,BrioniBoy12,Not dead yet…,Vermont,1744,686,21110,14,"There's gonna be a small magnitude earthquake during the Superbowl half-time show, when 30 million gen-x'ers all start crip walkin at the same damn time??",[]
2217,2217,8Karentmorales,??Enby ??Latine-Guatemalan ??She/Her ??He/Him ??35,"Los Angeles, CA",1671,190,74124,29,"Inglewood Mayor James Butts told @KnockDotLA the sweeps that are making international headlines have “nothing to do with the Super Bowl.”

????????????????????

#SuperBowlLVI #SuperBowl https://t.co/8lx1bfiPxs https://t.co/3hDpOYbTlY",[]
2218,2218,RickyWa47718154,,,42,7,144,0,@Melissa_OU6 Baker Mayfield will lead the browns to the Superbowl you can bank on that,[]
2219,2219,AJKinthaD,"Jack of all Trades , Full of useless info , Old School Traditionalist",DETROIT ,69,42,1616,1,"@AB84 The lack of history and level of disrespect in here is UNREAL !   and NO disrespect to Ben or AB , but im PRETTY SURE AB didnt affect the #Steelers #SuperBowl games the way THESE GUYS MADE HISTORY !   This is the greatest duo ever.   #NFL #NFLPlayoffs  #49ers https://t.co/hIrzpJYjOw","['Steelers', 'SuperBowl', 'NFL', 'NFLPlayoffs', '49ers']"
2220,2220,PaulViking,"Desert storm veteran, retired city letter carrier & die hard Viking , Twins (87 & 91,) golden gophers & Lobos fan. SKOL ????
Rock n roll and live music!",,130,36,3414,0,"@SKORNorth @DWolfsonKSTP Why not the Vikings over the Raiders...maybe a better road to the superbowl rather than facing Chiefs, Chargers &amp; Broncos w/ Rogers ????",[]
2221,2221,SmallFemboi,the master baiter | All I do is troll |Steelers|Penguins|Martin Truex Jr.|Pirates | Socialist gay lol,"Any Pronouns, Femboy, 21",1893,429,18167,0,@PeteyDanger @joehaden23 @_BigBen7 Third place in the division on your “Superbowl” team btw…,[]
2222,2222,meko_lord,MEKO’s RESTAURANT   ????BLACK OWN  Business  #QUEENOFROLLS  108 Howell St NE Atlanta Ga 30312,108 Howell St Ne Atlanta Ga ,1042,2064,58121,0,A Superbowl party ?? at the Cabin Valentines Trip Weekend now that’s Litt ??,[]
2223,2223,Move4amovement,"A YouTube show on dance and social justice ?????????????????
??Starting conversations 
???? Supporting artists and the work
???? Advocacy and representation",,993,255,7350,0,"(1/5) This might feel like old news by now, but I do want to reinforce the point. At the revelation that dancers in the Superbowl halftime show were being paid in ""exposure"", when having to learn 9 pieces in 72 hours (and despite the massive amount of money available) .... https://t.co/bb4Y4nsaIE",[]
2224,2224,LT38,artist,CHICAGO/TEXAS Tele. 6824124723,2,7603,1356661,147,"On this day in #ChicagoHistory -

The @chicagobears won SuperBowl XX by defeating the @patriots 46-10! https://t.co/0PeEAluELj",['ChicagoHistory']
2225,2225,PaulBonerko,"Formerly @~konerkosbonerko w/3200 followers 2017-2021 (b4 hack). Husb/Dad, FF/PM????,Vol????Coach. Chicago White Sox, Bears, Bulls, ND??,Illini?? #TTM #TheHobby","Chicago, IL",454,145,780,7,"Win, Win and Win - amazing what you do to bring excitement to the @SuperBowl and @NFL fans https://t.co/iYVjrWU2zy",[]
2226,2226,Rasu5353,,,229,0,331,51,"Will [team] win 2021-22 #SuperBowl? Yes/No

Chiefs      +120 / -140
49ers       +430 / -560
Rams       +205 / -240
Bengals   +845 / -1330 https://t.co/Qk7YlrueFL",['SuperBowl']
2227,2227,jsnopewzzu,Wazzu '07/Golfer/Chef/Seahawks/Cougs/M's/Sonics,"Tacoma, WA",417,102,2694,0,@CowherCBS @_BigBen7 The refs screwed the Seahawks in Superbowl XL and handed the game to you two. Bill Leavy admitted as much. #neverforget,['neverforget']
2228,2228,JoshuaMelania,,,139,12,814,0,@steph32789 He can watch the #SuperBowl while he’s home alone ????.,['SuperBowl']
2229,2229,ianjohnson8416,,"Rockford, IL",256,57,1769,47,"Cant get the superbowl off my mind, i need one!",[]
2230,2230,adiranade,"Mission: technology for a better Anthropocene. Founder and Managing Partner @twodegreesadapt. Occasional tweets about politics, science, music, and literature","St Paul, MN",1262,301,1443,1,"A sh*tload of renewables/batteries + maintain nuclear  + support deployment of CCS/hydrogen/biofuels to test capabilities and fill gaps. Renewable/battery only is like a plan to get to the SuperBowl with a sh*tload of pass completions, necessary but probably not sufficient. https://t.co/Rc4osedJ8h",[]
2231,2231,Cjams7,college full time. work part time. avid detroit sports fan. into any music from the 1920s-80s. game for fun too,,107,18,1649,0,@NFL @NFLFilms also unless you are a niners fan idk who wants to see jimmy g face burrows or mahomes. I would rather see a shootout between stafford and either burrows or mahomes. I am not tryna watch a superbowl full of draws and HB dives because one team's QB cant throw.,[]
2232,2232,DJLisaFoxx,"Happy radio host on @1043MYFM LA & @Star1013  SF...@iheartradio charity do-gooder, pescatarian, die-hard sports fan & animal lover, hate liars/ bs'ers ??","Los Angeles, CA",2934,16252,40820,1,We have your chance to win a 4-pack of tickets to the #SuperBowl Experience presented by Lowe's – NFL's interactive football theme park from your local Southern California Ford dealers. Enter here: https://t.co/e8goDeUKlj ?? #FordTrucksSBLVI https://t.co/nkJQfYUNvX,['SuperBowl']
2233,2233,droptopzones,rest in peace mom,"Virginia, USA",722,534,102145,0,"@michaelhaas3587 Similar to the texans no draft picks and  no team around him as a result because it would cost so much to trade for him.

Wilson hasn't been to a superbowl since 2014 and since he's got his big deal their team has got progressively worse.",[]
2234,2234,Niell_Standard,My math always Maths,,483,263,1044,0,But that's exactly my point....they don't just dance for Bey.....So many Bey dancers did the 2020 superbowl...and let's not forget that many of them were not even in BIK....not even Ashley...even as her dance captain she doesn't book everything https://t.co/0N8JWXcEYH,[]
2235,2235,theloop411,Events Calendar & Blog for African American professionals in Los Angeles & beyond.  e-Blast Ads or Free Event Posting on this link https://t.co/0G20qRn1RU,"Los Angeles, CA",362,2018,32951,0,"All Black Party Attire / Super Bowl Party :: Saturday, February 12th
https://t.co/knYC8wh6XK
#Elegance #Style #AllBlackAttire #Affair #Party #Celebration #Tables
#VIP #Nightlife #Event #Birthday #Music #DJ #Dance #CDCGuidelinesEnforced #Upscale #SuperBowl #Class #Dress2Impress https://t.co/i04ZNYhEqS","['Elegance', 'Style', 'AllBlackAttire', 'Affair', 'Party', 'Celebration', 'Tables', 'VIP', 'Nightlife', 'Event', 'Birthday', 'Music', 'DJ', 'Dance', 'CDCGuidelinesEnforced', 'Upscale', 'SuperBowl', 'Class', 'Dress2Impress']"
2236,2236,littlegiinge,selectively social || coffee addict ??,USA,17203,34225,171652,14,"There's gonna be a small magnitude earthquake during the Superbowl half-time show, when 30 million gen-x'ers all start crip walkin at the same damn time??",[]
2237,2237,thinkin_b,My thoughts B like,,89,30,442,14,"If @jdharm cries this much over a @Bengals playoff win, imagine how he’ll react if they go to the #SuperBowl. https://t.co/UBmDFtTYGF",['SuperBowl']
2238,2238,Ab_Zatara_RU,"? ?????? ?????? ??????, ???? ??? ?????????. ? ??? ?????? ????? ? ????? ???????, ??? ??? ??? ?????? ????? ??????? ?? ???? ??, ??? ??? ??????? ???????","Volgograd, Russia",247,42,5205,0,Looks like the Chiefs and 49ers are going to the Super Bowl again just like Super Bowl 54 #SuperBowl,['SuperBowl']
2239,2239,NEFFL1,,,235,38,3989,0,@JohnOwning Was Jameson available at 24? Still scoring for the cowboys are winning the superbowl mock.,[]
2240,2240,JackkySandra,Always smiling ?? | Horticulturist ??| PS4 | COD | Workout ?????? | Miami Beach ?? | IG:sandraaajakky | Virgo ??,,790,68,2019,29,"Other NFL fans calling Bengals fans cocky now I guess.

Why? Because we are excited our team has a shot at going to the superbowl? 

Relax it's not that serious lmao",[]
2241,2241,SPnottheGhost,"Cleveland sports. Never one to believe Twitter rumors. ...Sit back and learn, come now watch the birdie;
Your styles are incomplete same as Vinny Testaverde.",Parts Unknown,674,108,9471,0,@MalikMcDowell69 @Jeff_LJ_Lloyd Lets be fair this week will decide a lot if they win this week then yes but if they lose then it was a faliure of a season .They brought him in for the Superbowl and to win one.  A lot to play out before we really know..,[]
2242,2242,SpHarlem100,,Spanish Harlem,166,79,152,0,"#AlwaysGood #sweepstakes 
SUPERBOWL is near have your snacks ready and can't never go wrong with some guac @AvosFromMexico https://t.co/wsUkyQzT1Y","['AlwaysGood', 'sweepstakes']"
2243,2243,chhendon,"dr coffee, assistant professor of chemistry at @uoregon, water for coffee ed2 is coming

@chhendon on instagram","Eugene, OR",750,2846,1486,0,"I guess the point is that the current overtime circumvents the fact that defenses get bad by the end (let alone +15 min.) Even BUF and KC defenses were *really* bad by 57 min.

Either way, the two best teams played and nobody will remember this year's Superbowl",[]
2244,2244,AnaMalcolm6,,,73,0,175,51,"Will [team] win 2021-22 #SuperBowl? Yes/No

Chiefs      +120 / -140
49ers       +430 / -560
Rams       +205 / -240
Bengals   +845 / -1330 https://t.co/Qk7YlrueFL",['SuperBowl']
2245,2245,Footballfunfan1,Football Fan. Don't care about your favorite player,Nowhere is Safe,411,283,426,0,@Joe_MainMixon Superbowl bound ??,[]
2246,2246,maz_nf,https://t.co/lvTRSwkQG6 #NFT #Artist #NFTs #NFTart #NFTartist Nothing I tweet is financial advice #DYOR #ANMT #Artmazes #MetaHero artmazes.eth,Saturn,2547,1476,10208,0,@SoapBoxCar @OX_Ditto @ButtonheadV @BoredApeYC @SuperBowl @yugalabs @pixelvault Agreed… ?????? i look forward to whatever they have planned ??,[]
